Debatable Claim (Motion),Debate Date,Pre-Vote % For,Post-Vote % For,Vote Swing % (For),Pre-Vote % Against,Post-Vote % Against,Winner (By Largest Swing),Status
Men Are Finished.,"Sep 20, 2011",20%,66%,+46%,54%,29%,For,Fully Labeled
Do we need a Grand Strategy on China?,"Nov 2, 2021",35%,44%,+9%,31%,49%,Against,Fully Labeled
Will the Future Be Abundant?,"Dec 22, 2023",26%,36%,+10%,24%,22%,For,Fully Labeled
AI Will Do More Harm Than Good.,"Sep 2, 2022",32%,40%,+8%,44%,49%,Against,Fully Labeled
Should America End Birthright Citizenship?,"Oct 9, 2025",23%,13%,-10%,60%,74%,Against,Fully Labeled
Is War Inevitable?,"Oct 10, 2025",28%,14%,-14%,44%,72%,Against,Fully Labeled
Globalization Has Undermined America's Working Class.,"Jan 4, 2019 (Report Date)",N/A,N/A,N/A,45%,61%,Against,Partially Labeled
It’s Time to Break Up Big Tech.,Unlabeled,N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
The U.S. Should Cut Military Aid to Ukraine.,Unlabeled,N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Were Israel's Actions in the Gaza War Justified?,"Sep 21, 2024",N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Can Humans Adapt to Climate Change?,"Apr 30, 2022",N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Is Carbon Capture Essential to Fighting Climate Change?,"May 5, 2023",N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Is Amazon Good for Small Business?,"Dec 28, 2021",N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Is Meritocracy Overrated?,"Dec 27, 2021",N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Do We Need Vaccine Passports?,"May 31, 2021",N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Is It Time for Slavery Reparations?,"Mar 25, 2021",N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Trump Is Making America Great Again.,2017,N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Has the Electoral College Outlived Its Usefulness?,"May 20, 2020",N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Will Coronavirus Reshape the World Order in China’s Favor?,"Jul 8, 2020",N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
It’s Time to End the War on Drugs.,"Mar 13, 2012",N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
"The More We Evolve, the Less We Need God.",Various,N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion
Universal Basic Income Is the Safety Net of the Future.,Various,N/A,N/A,N/A,N/A,N/A,Unlabeled,Confirmed Motion